metric,ratio,score_mean,score_se,is_min,is_1se,outer_fold,task,model
auc,0.276959,0.56631,0.00442,False,False,5,w_class,sparse_logistic
auc,0.180532,0.57934,0.0033,False,False,5,w_class,sparse_logistic
auc,0.117677,0.5879,0.00212,False,False,5,w_class,sparse_logistic
auc,0.076706,0.59147,0.00292,False,True,5,w_class,sparse_logistic
auc,0.05,0.5935,0.00416,True,False,5,w_class,sparse_logistic
auc,1.0,0.7616,0.00657,True,True,6,y,sparse_logistic
auc,0.651836,0.76021,0.00548,False,False,6,y,sparse_logistic
auc,0.424891,0.75364,0.00387,False,False,6,y,sparse_logistic
auc,0.276959,0.73784,0.00599,False,False,6,y,sparse_logistic
auc,0.180532,0.72132,0.00739,False,False,6,y,sparse_logistic
auc,0.117677,0.70308,0.00855,False,False,6,y,sparse_logistic
auc,0.076706,0.68644,0.00954,False,False,6,y,sparse_logistic
auc,0.05,0.67233,0.01076,False,False,6,y,sparse_logistic
auc,1.0,0.51355,0.00308,False,False,6,w_class,sparse_logistic
auc,0.651836,0.5483,0.00178,False,False,6,w_class,sparse_logistic
auc,0.424891,0.56235,0.00214,False,False,6,w_class,sparse_logistic
auc,0.276959,0.57134,0.00457,False,False,6,w_class,sparse_logistic
auc,0.180532,0.57988,0.00469,False,False,6,w_class,sparse_logistic
auc,0.117677,0.58623,0.00282,False,False,6,w_class,sparse_logistic
auc,0.076706,0.59022,0.00181,False,False,6,w_class,sparse_logistic
auc,0.05,0.59197,0.00151,True,True,6,w_class,sparse_logistic
auc,1.0,0.76824,0.00644,True,True,7,y,sparse_logistic
auc,0.651836,0.76817,0.00625,False,False,7,y,sparse_logistic
auc,0.424891,0.75943,0.0092,False,False,7,y,sparse_logistic
auc,0.276959,0.75129,0.01059,False,False,7,y,sparse_logistic
auc,0.180532,0.73893,0.0114,False,False,7,y,sparse_logistic
auc,0.117677,0.72123,0.01166,False,False,7,y,sparse_logistic
auc,0.076706,0.70631,0.01086,False,False,7,y,sparse_logistic
auc,0.05,0.6935,0.01014,False,False,7,y,sparse_logistic
auc,1.0,0.51962,0.00158,False,False,7,w_class,sparse_logistic
auc,0.651836,0.54673,0.00584,False,False,7,w_class,sparse_logistic
auc,0.424891,0.56182,0.00438,False,False,7,w_class,sparse_logistic
auc,0.276959,0.57429,0.00634,False,False,7,w_class,sparse_logistic
auc,0.180532,0.58509,0.00572,False,False,7,w_class,sparse_logistic
auc,0.117677,0.59361,0.0045,False,False,7,w_class,sparse_logistic
auc,0.076706,0.59798,0.00343,False,True,7,w_class,sparse_logistic
auc,0.05,0.59955,0.003,True,False,7,w_class,sparse_logistic
auc,1.0,0.76648,0.01383,True,True,8,y,sparse_logistic
auc,0.651836,0.76455,0.01431,False,False,8,y,sparse_logistic
auc,0.424891,0.76164,0.01579,False,False,8,y,sparse_logistic
auc,0.276959,0.75335,0.01545,False,False,8,y,sparse_logistic
auc,0.180532,0.73903,0.01632,False,False,8,y,sparse_logistic
auc,0.117677,0.72423,0.01586,False,False,8,y,sparse_logistic
