outer_fold,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
5,y,binary,mlp_latent_yw,1947,46.0,1901.0,0.7652780001372275,0.22909983677456977,
5,w_class,binary,mlp_latent_yw,1947,952.0,995.0,0.5892477091339048,0.5745690090165753,
6,y,binary,sparse_logistic,1897,45.0,1852.0,0.7828773698104151,0.09714019981704204,
6,y,binary,xgb_clf,1897,45.0,1852.0,0.7683465322774178,0.08977782247851311,
6,y,binary,mlp_clf_y,1897,45.0,1852.0,0.7962083033357332,0.1522631926901592,
6,w_reg,regression,linreg,1897,,,,,-0.16305262379503893
6,w_reg,regression,xgb_reg,1897,,,,,-0.17094847284836145
6,w_reg,regression,mlp_reg,1897,,,,,-0.14243958948894742
6,w_class,binary,sparse_logistic,1897,907.0,990.0,0.6074426737050773,0.5740238975396434,
6,w_class,binary,xgb_clf,1897,907.0,990.0,0.5838862717583776,0.5477731618596575,
6,w_class,binary,mlp_clf_w_class,1897,907.0,990.0,0.6031650574098204,0.5791725643259416,
6,y,binary,mlp_latent_yw,1897,45.0,1852.0,0.8020758339332853,0.1603542261383034,
6,w_class,binary,mlp_latent_yw,1897,907.0,990.0,0.6090146225206865,0.5913810566215305,
7,y,binary,sparse_logistic,1944,46.0,1898.0,0.7549480001832592,0.09540237746345148,
7,y,binary,xgb_clf,1944,46.0,1898.0,0.8014271315343382,0.1345552742154244,
7,y,binary,mlp_clf_y,1944,46.0,1898.0,0.7617744078434966,0.12232873141339295,
7,w_reg,regression,linreg,1944,,,,,-0.16649087082386305
7,w_reg,regression,xgb_reg,1944,,,,,-0.17327281745462098
7,w_reg,regression,mlp_reg,1944,,,,,-0.12970868672059965
7,w_class,binary,sparse_logistic,1944,954.0,990.0,0.5911489104885331,0.5804012236023433,
7,w_class,binary,xgb_clf,1944,954.0,990.0,0.5807286703513119,0.5699847632128121,
7,w_class,binary,mlp_clf_w_class,1944,954.0,990.0,0.5898778137771848,0.5755636101468106,
7,y,binary,mlp_latent_yw,1944,46.0,1898.0,0.7746254638750173,0.12561250778123792,
7,w_class,binary,mlp_latent_yw,1944,954.0,990.0,0.589183236981979,0.5705268121936337,
8,y,binary,sparse_logistic,1956,51.0,1905.0,0.7266996037260047,0.13855914885930154,
8,y,binary,xgb_clf,1956,51.0,1905.0,0.7761000463177397,0.16191308037138719,
8,y,binary,mlp_clf_y,1956,51.0,1905.0,0.7416396479851783,0.197543415124255,
8,w_reg,regression,linreg,1956,,,,,-0.17635113692747684
8,w_reg,regression,xgb_reg,1956,,,,,-0.17866092314078785
8,w_reg,regression,mlp_reg,1956,,,,,-0.14920367248692945
8,w_class,binary,sparse_logistic,1956,953.0,1003.0,0.5864484196936995,0.5728524810331034,
8,w_class,binary,xgb_clf,1956,953.0,1003.0,0.5800635867842433,0.5592883039421004,
8,w_class,binary,mlp_clf_w_class,1956,953.0,1003.0,0.5909710532620397,0.5735934088276102,
8,y,binary,mlp_latent_yw,1956,51.0,1905.0,0.7362050331943801,0.15978102252178733,
8,w_class,binary,mlp_latent_yw,1956,953.0,1003.0,0.6084506187628091,0.5759803521529264,
9,y,binary,sparse_logistic,1956,48.0,1908.0,0.746402209993012,0.10351834078035445,
9,y,binary,xgb_clf,1956,48.0,1908.0,0.7703419811320755,0.13978408223634967,
9,y,binary,mlp_clf_y,1956,48.0,1908.0,0.7505568658280923,0.1400373146197988,
9,w_reg,regression,linreg,1956,,,,,-0.1553962604279433
9,w_reg,regression,xgb_reg,1956,,,,,-0.1665772244346888
9,w_reg,regression,mlp_reg,1956,,,,,-0.13011084554733943
9,w_class,binary,sparse_logistic,1956,965.0,991.0,0.599689432875151,0.5977886652032645,
9,w_class,binary,xgb_clf,1956,965.0,991.0,0.6001014310138396,0.5803104475575548,
9,w_class,binary,mlp_clf_w_class,1956,965.0,991.0,0.5972749564735469,0.5787139480219059,
9,y,binary,mlp_latent_yw,1956,48.0,1908.0,0.7461019392033542,0.18224692982823276,
9,w_class,binary,mlp_latent_yw,1956,965.0,991.0,0.5988079241672462,0.5952864523313156,
