cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
GvHD,20260828_000654_nogit,4,shuffled,0,y,0.4576552436206303,0.022268824539889168,1935,43,118.8
GvHD,20260828_000654_nogit,4,shuffled,0,w_class,0.6159664242750695,0.5969813073858323,1935,948,118.8
GvHD,20260828_000654_nogit,4,shuffled,1,y,0.5168764442696299,0.025726548655967872,1935,43,118.9
GvHD,20260828_000654_nogit,4,shuffled,1,w_class,0.6205032511253895,0.5972335955094619,1935,948,118.9
GvHD,20260828_000654_nogit,4,shuffled,2,y,0.3476449186292345,0.01589053448584548,1935,43,119.4
GvHD,20260828_000654_nogit,4,shuffled,2,w_class,0.6202232396684322,0.6038241606101172,1935,948,119.4
GvHD,20260828_000654_nogit,4,shuffled,3,y,0.43628005309995566,0.018597241550608993,1935,43,118.3
GvHD,20260828_000654_nogit,4,shuffled,3,w_class,0.6174327438130294,0.5906254364392152,1935,948,118.3
GvHD,20260828_000654_nogit,4,shuffled,4,y,0.44956733369388857,0.019215396427935162,1935,43,118.7
GvHD,20260828_000654_nogit,4,shuffled,4,w_class,0.6149906591597947,0.6003976563972985,1935,948,118.7
GvHD,20260828_000654_nogit,5,real,-1,y,0.8026553530178624,0.20616878057439997,1947,46,119.0
GvHD,20260828_000654_nogit,5,real,-1,w_class,0.5833822473713104,0.5625574632075301,1947,952,119.0
GvHD,20260828_000654_nogit,5,shuffled,0,y,0.4213228735448162,0.020850947393492907,1947,46,119.7
GvHD,20260828_000654_nogit,5,shuffled,0,w_class,0.6077731092436974,0.5974651990097808,1947,952,119.7
GvHD,20260828_000654_nogit,5,shuffled,1,y,0.45736797566498183,0.020983450736568553,1947,46,119.4
GvHD,20260828_000654_nogit,5,shuffled,1,w_class,0.6013956336303365,0.5858289177839265,1947,952,119.4
GvHD,20260828_000654_nogit,5,shuffled,2,y,0.5089769686435057,0.02456011554893665,1947,46,119.7
GvHD,20260828_000654_nogit,5,shuffled,2,w_class,0.5966154300916346,0.5845481199293292,1947,952,119.7
GvHD,20260828_000654_nogit,5,shuffled,3,y,0.523991949317293,0.025603363115664173,1947,46,118.8
GvHD,20260828_000654_nogit,5,shuffled,3,w_class,0.5900489844178878,0.5790943208272724,1947,952,118.8
GvHD,20260828_000654_nogit,5,shuffled,4,y,0.4548521373190311,0.021033877328910325,1947,46,119.2
GvHD,20260828_000654_nogit,5,shuffled,4,w_class,0.5966777163126556,0.5857250237504239,1947,952,119.2
GvHD,20260828_000654_nogit,6,real,-1,y,0.7778257739380849,0.20650402660891606,1897,45,119.1
GvHD,20260828_000654_nogit,6,real,-1,w_class,0.6026460859977949,0.5821023820227333,1897,907,119.1
GvHD,20260828_000654_nogit,6,shuffled,0,y,0.43807895368370536,0.0214764142515213,1897,45,118.3
GvHD,20260828_000654_nogit,6,shuffled,0,w_class,0.5960798725958594,0.5714019931591239,1897,907,118.3
GvHD,20260828_000654_nogit,6,shuffled,1,y,0.5434725221982241,0.05072039710680634,1897,45,119.7
GvHD,20260828_000654_nogit,6,shuffled,1,w_class,0.6065383715879857,0.5913336629969442,1897,907,119.7
GvHD,20260828_000654_nogit,6,shuffled,2,y,0.4609791216702664,0.026909968187666188,1897,45,119.2
GvHD,20260828_000654_nogit,6,shuffled,2,w_class,0.6114240530999075,0.5780264594203328,1897,907,119.2
GvHD,20260828_000654_nogit,6,shuffled,3,y,0.49899208063354933,0.02937413237455593,1897,45,119.9
GvHD,20260828_000654_nogit,6,shuffled,3,w_class,0.6183421870301693,0.5911613223141731,1897,907,119.9
GvHD,20260828_000654_nogit,6,shuffled,4,y,0.4578113750899928,0.022371394795481413,1897,45,120.5
