pair,model_a,model_b,n_folds,cka_fold_mean,cka_fold_std,cka_scaled_fold_mean,cka_scaled_fold_std,cka_full_pool,cka_scaled_full_pool,n_rows_full_pool
mlp_clf_y vs mlp_clf_w_class,mlp_clf_y,mlp_clf_w_class,10,0.08936088315050343,0.023406504035640836,0.09325340848158119,0.023902766550839193,0.0108802342493445,0.010785217414706125,19264
mlp_clf_y vs mlp_latent_yw,mlp_clf_y,mlp_latent_yw,10,0.8941695962278915,0.04416965387648875,0.8470159851465837,0.04149031774353528,0.8128740820260745,0.801606162552787,19264
mlp_clf_w_class vs mlp_latent_yw,mlp_clf_w_class,mlp_latent_yw,10,0.12122114894359104,0.02959987633845055,0.16666591093006197,0.023523032339735527,0.022647603526533232,0.023387242633088164,19264
