cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
IBD,20260916_152830,4,shuffled,3,y,0.50625,0.033861382521308166,526,16,26.2
IBD,20260916_152830,4,shuffled,3,w_class,0.5927654266637319,0.5101055097053507,526,231,26.2
IBD,20260916_152830,4,shuffled,4,y,0.46519607843137256,0.04429831243989557,526,16,26.5
IBD,20260916_152830,4,shuffled,4,w_class,0.6049600117396727,0.5316536361956999,526,231,26.5
IBD,20260916_152830,5,real,-1,y,0.7571658800506504,0.3229841400325383,528,17,26.5
IBD,20260916_152830,5,real,-1,w_class,0.5943562610229276,0.4600993563913379,528,189,26.5
IBD,20260916_152830,5,shuffled,0,y,0.4122827213077012,0.026717821226305692,528,17,26.8
IBD,20260916_152830,5,shuffled,0,w_class,0.5992258588128794,0.43864034220222625,528,189,26.8
IBD,20260916_152830,5,shuffled,1,y,0.5591688730286635,0.051162516644127146,528,17,26.5
IBD,20260916_152830,5,shuffled,1,w_class,0.5951834683398104,0.4317568611839572,528,189,26.5
IBD,20260916_152830,5,shuffled,2,y,0.5242891677218833,0.03729231931407537,528,17,26.8
IBD,20260916_152830,5,shuffled,2,w_class,0.602253749746375,0.46296109491327364,528,189,26.8
IBD,20260916_152830,5,shuffled,3,y,0.5655001726718085,0.06690121643087299,528,17,26.3
IBD,20260916_152830,5,shuffled,3,w_class,0.5786705373726022,0.4370538051003107,528,189,26.3
IBD,20260916_152830,5,shuffled,4,y,0.3678485092667204,0.032602370268147725,528,17,26.6
IBD,20260916_152830,5,shuffled,4,w_class,0.5953863682477252,0.475303479702744,528,189,26.7
IBD,20260916_152830,6,real,-1,y,0.8464508464508465,0.26550335848691553,531,13,26.6
IBD,20260916_152830,6,real,-1,w_class,0.6310552977219643,0.4953950313543721,531,198,26.6
IBD,20260916_152830,6,shuffled,0,y,0.4992574992574993,0.024907227873629725,531,13,26.6
IBD,20260916_152830,6,shuffled,0,w_class,0.6038159371492704,0.44846550462087603,531,198,26.6
IBD,20260916_152830,6,shuffled,1,y,0.5694980694980695,0.034014278857270895,531,13,26.4
IBD,20260916_152830,6,shuffled,1,w_class,0.6192404525737859,0.4828660945052132,531,198,26.4
IBD,20260916_152830,6,shuffled,2,y,0.5931095931095931,0.03531123963870527,531,13,26.9
IBD,20260916_152830,6,shuffled,2,w_class,0.6401249734583068,0.5085635705735905,531,198,26.9
IBD,20260916_152830,6,shuffled,3,y,0.39515889515889513,0.023655741316085485,531,13,26.6
IBD,20260916_152830,6,shuffled,3,w_class,0.6387903054569721,0.4977973048927795,531,198,26.6
IBD,20260916_152830,6,shuffled,4,y,0.4784674784674784,0.02594122621648301,531,13,26.3
IBD,20260916_152830,6,shuffled,4,w_class,0.6292201292201293,0.48881079816758677,531,198,26.3
IBD,20260916_152830,7,real,-1,y,0.7731837606837607,0.42834623605592226,538,18,16.4
IBD,20260916_152830,7,real,-1,w_class,0.5742424242424242,0.44390734164664764,538,198,16.4
IBD,20260916_152830,7,shuffled,0,y,0.27884615384615385,0.0774505018741938,538,18,16.6
IBD,20260916_152830,7,shuffled,0,w_class,0.5948900772430185,0.45926754187673574,538,198,16.6
IBD,20260916_152830,7,shuffled,1,y,0.5257478632478632,0.09302486511086476,538,18,16.5
IBD,20260916_152830,7,shuffled,1,w_class,0.5953951277480688,0.46539618467820304,538,198,16.5
IBD,20260916_152830,7,shuffled,2,y,0.506517094017094,0.033434929533705374,538,18,17.3
IBD,20260916_152830,7,shuffled,2,w_class,0.5923945335710041,0.4798917871183128,538,198,17.3
IBD,20260916_152830,7,shuffled,3,y,0.5708333333333333,0.0501536161555946,538,18,16.4
IBD,20260916_152830,7,shuffled,3,w_class,0.583526440879382,0.461768526466962,538,198,16.4
IBD,20260916_152830,7,shuffled,4,y,0.4239316239316239,0.04442247537739512,538,18,16.6
IBD,20260916_152830,7,shuffled,4,w_class,0.573544266191325,0.4351009433324363,538,198,16.6
IBD,20260916_152830,8,real,-1,y,0.763655462184874,0.27321726656401973,498,22,16.8
IBD,20260916_152830,8,real,-1,w_class,0.6193870764193258,0.4851482573142202,498,191,16.8
IBD,20260916_152830,8,shuffled,0,y,0.6950916730328496,0.1496375381293035,498,22,16.8
IBD,20260916_152830,8,shuffled,0,w_class,0.6219110800347905,0.48902738218177194,498,191,16.8
IBD,20260916_152830,8,shuffled,1,y,0.4574102368220015,0.09549129651037358,498,22,16.8
IBD,20260916_152830,8,shuffled,1,w_class,0.6194382386547743,0.4794533810857852,498,191,16.8
IBD,20260916_152830,8,shuffled,2,y,0.6127769289533995,0.10797960869275391,498,22,16.8
IBD,20260916_152830,8,shuffled,2,w_class,0.6166584238620666,0.4759383244859832,498,191,16.8
IBD,20260916_152830,8,shuffled,3,y,0.49293353705118415,0.04303992509355249,498,22,16.9
IBD,20260916_152830,8,shuffled,3,w_class,0.5936013097532274,0.46609903262723096,498,191,16.9
IBD,20260916_152830,8,shuffled,4,y,0.5863254392666157,0.06378422149583046,498,22,16.9
IBD,20260916_152830,8,shuffled,4,w_class,0.6111670105905828,0.47346430182547106,498,191,16.9
IBD,20260916_152830,9,real,-1,y,0.7566945606694561,0.22678728837266118,498,20,16.9
IBD,20260916_152830,9,real,-1,w_class,0.6042474383827194,0.48040612333463567,498,184,16.9
IBD,20260916_152830,9,shuffled,0,y,0.5167364016736401,0.07970701455262522,498,20,16.8
IBD,20260916_152830,9,shuffled,0,w_class,0.5975837718083634,0.4593937328509393,498,184,16.8
IBD,20260916_152830,9,shuffled,1,y,0.5167364016736402,0.09651006696795458,498,20,16.2
IBD,20260916_152830,9,shuffled,1,w_class,0.6008031016338965,0.4716520032692687,498,184,16.2
IBD,20260916_152830,9,shuffled,2,y,0.5177824267782427,0.05605403814794031,498,20,16.6
IBD,20260916_152830,9,shuffled,2,w_class,0.5791158958737191,0.4505061387147622,498,184,16.6
IBD,20260916_152830,9,shuffled,3,y,0.37468619246861923,0.03169464767945629,498,20,16.7
IBD,20260916_152830,9,shuffled,3,w_class,0.5938798116865135,0.4709303266596666,498,184,16.7
IBD,20260916_152830,9,shuffled,4,y,0.48734309623430966,0.04284197367525631,498,20,17.2
IBD,20260916_152830,9,shuffled,4,w_class,0.5992453613957353,0.47050030408238697,498,184,17.2
