arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,7,test,573,230,343,0.5299911268855368,0.42765617879289497
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,8,test,576,230,346,0.5429442070872079,0.4360890759477025
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,9,test,563,257,306,0.5441430787619848,0.5062652649176762
2_presence_concat_quantile,y,sparse_logistic,0,test,581,20,561,0.6885472370766489,0.18284573032641413
2_presence_concat_quantile,y,sparse_logistic,1,test,607,18,589,0.6901999622712696,0.10326186506146261
2_presence_concat_quantile,y,sparse_logistic,2,test,591,19,572,0.7674365108575636,0.17924005674520355
2_presence_concat_quantile,y,sparse_logistic,3,test,577,27,550,0.7173400673400674,0.264225567879949
2_presence_concat_quantile,y,sparse_logistic,4,test,552,18,534,0.8075322513524761,0.2539419609322731
2_presence_concat_quantile,y,sparse_logistic,5,test,564,17,547,0.7101838907409399,0.2239549537134679
2_presence_concat_quantile,y,sparse_logistic,6,test,582,23,559,0.6765186279847554,0.116432007317645
2_presence_concat_quantile,y,sparse_logistic,7,test,573,17,556,0.6576385950063478,0.09810133863680012
2_presence_concat_quantile,y,sparse_logistic,8,test,576,22,554,0.7691171644240238,0.1818803023359662
2_presence_concat_quantile,y,sparse_logistic,9,test,563,17,546,0.7699849170437406,0.16402600796924105
2_presence_concat_quantile,y,xgb_clf,0,test,581,20,561,0.7472816399286988,0.18963325890457702
2_presence_concat_quantile,y,xgb_clf,1,test,607,18,589,0.8108375778155065,0.24357010470712304
2_presence_concat_quantile,y,xgb_clf,2,test,591,19,572,0.8591737210158261,0.31959418540512624
2_presence_concat_quantile,y,xgb_clf,3,test,577,27,550,0.8083164983164982,0.3394885232491233
2_presence_concat_quantile,y,xgb_clf,4,test,552,18,534,0.836662505201831,0.43721540909245926
2_presence_concat_quantile,y,xgb_clf,5,test,564,17,547,0.8126680288203033,0.23412669128177413
2_presence_concat_quantile,y,xgb_clf,6,test,582,23,559,0.7508750097223303,0.13928561741648177
2_presence_concat_quantile,y,xgb_clf,7,test,573,17,556,0.7665044435040204,0.14410971097006078
2_presence_concat_quantile,y,xgb_clf,8,test,576,22,554,0.8356580242861832,0.25403484441216995
2_presence_concat_quantile,y,xgb_clf,9,test,563,17,546,0.8214824391294979,0.1354952772261636
