source,feature_id,mean,var,score,selected,threshold
Xb,0,0.0851063829787234,0.1862274079158089,0.04969451476558908,False,0.336238477090991
Xb,1,0.09574468085106383,0.23804621368108025,0.05370718051798786,False,0.336238477090991
Xb,2,0.0425531914893617,0.04118050789293073,0.01978529913184083,False,0.336238477090991
Xb,3,0.02127659574468085,0.021047815145275692,0.01011248622294086,False,0.336238477090991
Xb,4,0.06382978723404255,0.08190345458705112,0.03192831597835415,False,0.336238477090991
Xb,5,0.02127659574468085,0.02104781514527569,0.010112486222940862,False,0.336238477090991
Xb,6,0.0425531914893617,0.041180507892930734,0.01978529913184081,False,0.336238477090991
Xb,7,0.07446808510638298,0.09116906886296065,0.036425628511208195,False,0.336238477090991
Xb,8,0.031914893617021274,0.05273392816289174,0.017776868408730866,False,0.336238477090991
Xb,9,0.02127659574468085,0.021047815145275678,0.010112486222940868,False,0.336238477090991
Xb,10,0.11702127659574468,1.0721802791123312,0.06590011477406454,False,0.336238477090991
Xb,11,0.031914893617021274,0.031228551818805753,0.015003851841645944,False,0.336238477090991
Xb,12,0.0425531914893617,0.10569663692518876,0.025336174721607273,False,0.336238477090991
Xb,13,1.3617021276595744,49.717227179135214,0.5120715128107158,True,0.336238477090991
Xb,14,0.0425531914893617,0.041180507892930734,0.019785299131840805,False,0.336238477090991
Xb,15,0.02127659574468085,0.02104781514527569,0.010112486222940862,False,0.336238477090991
Xb,16,0.02127659574468085,0.02104781514527568,0.010112486222940864,False,0.336238477090991
Xb,17,0.0851063829787234,0.40128117135666896,0.049777947001768276,False,0.336238477090991
Xb,18,0.031914893617021274,0.03122855181880577,0.015003851841645951,False,0.336238477090991
Xb,19,0.06382978723404255,0.060398078242964996,0.029018438726699868,False,0.336238477090991
Xb,20,0.05319148936170213,0.11541981239990855,0.03011762201180214,False,0.336238477090991
Xb,21,0.06382978723404255,0.1894303363074811,0.037158322099742715,False,0.336238477090991
Xb,22,0.031914893617021274,0.05273392816289181,0.017776868408730852,False,0.336238477090991
Xb,23,0.07446808510638298,0.2847174559597349,0.04369742942707206,False,0.336238477090991
Xb,24,0.0425531914893617,0.06268588423701675,0.022603935927115515,False,0.336238477090991
Xb,25,0.031914893617021274,0.03122855181880579,0.015003851841645948,False,0.336238477090991
Xb,26,0.3404255319148936,0.8936170212765959,0.160575157207099,False,0.336238477090991
Xb,27,0.0425531914893617,0.06268588423701672,0.022603935927115525,False,0.336238477090991
Xb,28,0.031914893617021274,0.031228551818805773,0.015003851841645956,False,0.336238477090991
Xb,29,0.425531914893617,2.9137497140242514,0.2179656714733626,False,0.336238477090991
Xb,30,0.02127659574468085,0.02104781514527568,0.010112486222940866,False,0.336238477090991
Xb,31,0.0425531914893617,0.06268588423701672,0.022603935927115525,False,0.336238477090991
Xb,32,0.0851063829787234,0.12171127888355085,0.04379520631816133,False,0.336238477090991
Xb,33,0.09574468085106383,0.15202470830473563,0.048144227887479324,False,0.336238477090991
Xb,34,0.0425531914893617,0.041180507892930734,0.01978529913184081,False,0.336238477090991
Xb,35,0.11702127659574468,0.2549759780370623,0.062301279001984254,False,0.336238477090991
Xb,36,0.031914893617021274,0.05273392816289181,0.017776868408730852,False,0.336238477090991
