outer_fold,inner_fold,role,task,model,cutoff,tp,fp,tn,fn,precision,recall,f1,tpr,fpr,accuracy
0,-1,test,y,sparse_logistic,0.01,65,2558,128,4,0.024780785360274494,0.9420289855072463,0.04829123328380386,0.9420289855072463,0.9523454951600894,0.07005444646098004
0,-1,test,y,sparse_logistic,0.02,64,2368,318,5,0.02631578947368421,0.927536231884058,0.0511795281887245,0.927536231884058,0.8816083395383469,0.13865698729582576
0,-1,test,y,sparse_logistic,0.03,64,2231,455,5,0.027886710239651415,0.927536231884058,0.05414551607445008,0.927536231884058,0.8306031273268801,0.18838475499092558
0,-1,test,y,sparse_logistic,0.04,64,2125,561,5,0.02923709456372773,0.927536231884058,0.0566873339238264,0.927536231884058,0.7911392405063291,0.22686025408348456
0,-1,test,y,sparse_logistic,0.05,62,2065,621,7,0.02914903620122238,0.8985507246376812,0.056466302367941715,0.8985507246376812,0.768801191362621,0.24791288566243194
0,-1,test,y,sparse_logistic,0.060000000000000005,62,1984,702,7,0.030303030303030304,0.8985507246376812,0.05862884160756502,0.8985507246376812,0.7386448250186151,0.2773139745916515
0,-1,test,y,sparse_logistic,0.06999999999999999,62,1904,782,7,0.03153611393692777,0.8985507246376812,0.06093366093366093,0.8985507246376812,0.7088607594936709,0.3063520871143376
0,-1,test,y,sparse_logistic,0.08,61,1806,880,8,0.03267273701124799,0.8840579710144928,0.06301652892561983,0.8840579710144928,0.6723752792256142,0.34156079854809435
0,-1,test,y,sparse_logistic,0.09,61,1742,944,8,0.03383250138657792,0.8840579710144928,0.06517094017094018,0.8840579710144928,0.6485480268056589,0.3647912885662432
0,-1,test,y,sparse_logistic,0.09999999999999999,61,1681,1005,8,0.03501722158438576,0.8840579710144928,0.06736609607951408,0.8840579710144928,0.625837676842889,0.3869328493647913
0,-1,test,y,sparse_logistic,0.11,60,1612,1074,9,0.03588516746411483,0.8695652173913043,0.06892590465249857,0.8695652173913043,0.6001489203276247,0.4116152450090744
0,-1,test,y,sparse_logistic,0.12,59,1548,1138,10,0.03671437461107654,0.855072463768116,0.07040572792362768,0.855072463768116,0.5763216679076694,0.43448275862068964
0,-1,test,y,sparse_logistic,0.13,59,1488,1198,10,0.03813833225597932,0.855072463768116,0.07301980198019803,0.855072463768116,0.5539836187639613,0.45626134301270416
