cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
CRC,20260916_152830,4,shuffled,3,y,0.49656679151061167,0.03253328769555544,552,18,25.0
CRC,20260916_152830,4,shuffled,3,w_class,0.5498551812915684,0.45878911757171675,552,236,25.0
CRC,20260916_152830,4,shuffled,4,y,0.5089471493965876,0.044958602906881265,552,18,25.3
CRC,20260916_152830,4,shuffled,4,w_class,0.5741793606522205,0.48002304370012744,552,236,25.3
CRC,20260916_152830,5,real,-1,y,0.78836434025164,0.21643725201551053,564,17,24.7
CRC,20260916_152830,5,real,-1,w_class,0.5528406730369755,0.4553842354998704,564,232,24.7
CRC,20260916_152830,5,shuffled,0,y,0.4844606946983547,0.04167248184455244,564,17,24.8
CRC,20260916_152830,5,shuffled,0,w_class,0.5584233485666805,0.47180971424629015,564,232,24.8
CRC,20260916_152830,5,shuffled,1,y,0.46876008172921824,0.027541869956314177,564,17,24.9
CRC,20260916_152830,5,shuffled,1,w_class,0.5434150394682177,0.46030450953827307,564,232,24.9
CRC,20260916_152830,5,shuffled,2,y,0.5287665340359178,0.034963740047681546,564,17,25.3
CRC,20260916_152830,5,shuffled,2,w_class,0.5387671375155796,0.44927495928601796,564,232,25.3
CRC,20260916_152830,5,shuffled,3,y,0.4100440907624476,0.024962392539663845,564,17,25.0
CRC,20260916_152830,5,shuffled,3,w_class,0.5592412754466141,0.4513515408606701,564,232,25.0
CRC,20260916_152830,5,shuffled,4,y,0.4544574685450049,0.02914607216244716,564,17,25.0
CRC,20260916_152830,5,shuffled,4,w_class,0.5582805359368509,0.4568402169118313,564,232,25.0
CRC,20260916_152830,6,real,-1,y,0.7981644240491561,0.2088066325583115,582,23,25.0
CRC,20260916_152830,6,real,-1,w_class,0.568815289648623,0.5191109653081236,582,270,25.0
CRC,20260916_152830,6,shuffled,0,y,0.5125612506805632,0.07878697463500141,582,23,24.8
CRC,20260916_152830,6,shuffled,0,w_class,0.5816239316239317,0.5420295420661613,582,270,24.8
CRC,20260916_152830,6,shuffled,1,y,0.4820720230224781,0.04394050222608105,582,23,24.9
CRC,20260916_152830,6,shuffled,1,w_class,0.585576923076923,0.5414676456593468,582,270,24.9
CRC,20260916_152830,6,shuffled,2,y,0.6474294158823987,0.11134588138720637,582,23,25.0
CRC,20260916_152830,6,shuffled,2,w_class,0.5820512820512821,0.5316963884299211,582,270,25.0
CRC,20260916_152830,6,shuffled,3,y,0.43097145523839153,0.0349963388473189,582,23,24.9
CRC,20260916_152830,6,shuffled,3,w_class,0.5996438746438746,0.5341404662758403,582,270,24.9
CRC,20260916_152830,6,shuffled,4,y,0.4893832153690597,0.04466612749758034,582,23,25.0
CRC,20260916_152830,6,shuffled,4,w_class,0.569551282051282,0.5229996938790813,582,270,25.0
CRC,20260916_152830,7,real,-1,y,0.7596275920440119,0.27013610439589153,573,17,25.0
CRC,20260916_152830,7,real,-1,w_class,0.5824629230574216,0.4728447726320228,573,230,25.0
CRC,20260916_152830,7,shuffled,0,y,0.47111722386796445,0.037360145031138936,573,17,24.8
CRC,20260916_152830,7,shuffled,0,w_class,0.5577829889719863,0.4387991162187027,573,230,24.9
CRC,20260916_152830,7,shuffled,1,y,0.4398011002962336,0.030478146440082385,573,17,24.8
CRC,20260916_152830,7,shuffled,1,w_class,0.5632716440613512,0.4597062621442118,573,230,24.8
CRC,20260916_152830,7,shuffled,2,y,0.4454083791790097,0.0349949029613946,573,17,14.7
CRC,20260916_152830,7,shuffled,2,w_class,0.5829953099252123,0.48833027945089313,573,230,14.7
CRC,20260916_152830,7,shuffled,3,y,0.4787346593313585,0.03023960316602491,573,17,14.9
CRC,20260916_152830,7,shuffled,3,w_class,0.5648561287869185,0.449824632239498,573,230,14.9
CRC,20260916_152830,7,shuffled,4,y,0.3883834109183242,0.03909496171370207,573,17,15.0
CRC,20260916_152830,7,shuffled,4,w_class,0.562371656737229,0.4650683658518301,573,230,15.0
CRC,20260916_152830,8,real,-1,y,0.8004594683295045,0.27415418180184603,576,22,14.9
CRC,20260916_152830,8,real,-1,w_class,0.600270168384016,0.4682475201634034,576,230,14.9
CRC,20260916_152830,8,shuffled,0,y,0.5040203478831637,0.047880349499867934,576,22,14.8
CRC,20260916_152830,8,shuffled,0,w_class,0.6023812515707463,0.478803096543286,576,230,14.8
CRC,20260916_152830,8,shuffled,1,y,0.45503774204135217,0.04061719412340906,576,22,15.0
CRC,20260916_152830,8,shuffled,1,w_class,0.5855805478763508,0.45097229639873077,576,230,15.0
CRC,20260916_152830,8,shuffled,2,y,0.6409583196586807,0.0930884278688151,576,22,14.9
CRC,20260916_152830,8,shuffled,2,w_class,0.5837836139733601,0.462296914758209,576,230,14.9
CRC,20260916_152830,8,shuffled,3,y,0.5232195602231704,0.04697156190089652,576,22,14.9
CRC,20260916_152830,8,shuffled,3,w_class,0.6071437547122392,0.48335216579984563,576,230,14.9
CRC,20260916_152830,8,shuffled,4,y,0.5139481457170988,0.040135081314130405,576,22,14.8
CRC,20260916_152830,8,shuffled,4,w_class,0.5952060819301332,0.4549711363359778,576,230,14.8
CRC,20260916_152830,9,real,-1,y,0.7564102564102564,0.12833978645219063,563,17,14.8
