cohort,head,n_folds,auc_real,auc_shuffled,auc_diff,auc_diff_sd,folds_real_higher,p_paired,ap_real,ap_shuffled,shuffled_auc_min,shuffled_auc_max,n_shuffles
IBD,y,10,0.8024319470706139,0.49542949517439416,0.3070024518962199,0.062282935744877685,10,8.077512020228303e-08,0.2711771763421059,0.04153001555280537,0.4721904446427535,0.5323629589357277,5
IBD,w_class,10,0.6081966692458795,0.6043966740796415,0.0037999951662381014,0.012929761039519226,5,0.3769467968672939,0.4751860262055792,0.4719743992418306,0.5999629668281391,0.6079457078102777,5
