model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.8181818181818182,8,171,13,4752,498,0.5221252973830294
l2_logistic,0.8181818181818182,9,167,17,4752,498,0.4440503852268558
l2_logistic,0.9090909090909092,0,98,10,4717,533,0.669980879541109
l2_logistic,0.9090909090909092,1,97,11,4716,534,0.6012515209455936
l2_logistic,0.9090909090909092,2,98,10,4700,550,0.4812962962962963
l2_logistic,0.9090909090909092,3,95,13,4736,514,0.484722861968371
l2_logistic,0.9090909090909092,4,95,13,4724,526,0.5695006747638327
l2_logistic,0.9090909090909092,5,97,11,4722,528,0.6108668893968701
l2_logistic,0.9090909090909092,6,91,17,4719,531,0.4874113069352255
l2_logistic,0.9090909090909092,7,99,9,4712,538,0.5498844780508296
l2_logistic,0.9090909090909092,8,101,7,4752,498,0.5138201920279313
l2_logistic,0.9090909090909092,9,101,7,4752,498,0.6144893802734943
xgboost,0.09090909090909091,0,975,118,4717,533,0.5831325301204819
xgboost,0.09090909090909091,1,996,97,4716,534,0.5781688645639198
xgboost,0.09090909090909091,2,971,122,4700,550,0.5382641335988969
xgboost,0.09090909090909091,3,982,111,4736,514,0.5172914850334205
xgboost,0.09090909090909091,4,960,133,4724,526,0.5731504333352465
xgboost,0.09090909090909091,5,997,96,4722,528,0.5493344907407407
xgboost,0.09090909090909091,6,988,105,4719,531,0.5779566286608541
xgboost,0.09090909090909091,7,983,110,4712,538,0.5686703483432455
xgboost,0.09090909090909091,8,989,104,4752,498,0.5433668488871535
xgboost,0.09090909090909091,9,996,97,4752,498,0.617322672699694
xgboost,0.18181818181818182,0,665,82,4717,533,0.5262830566221406
xgboost,0.18181818181818182,1,683,64,4716,534,0.5572473404255319
xgboost,0.18181818181818182,2,661,86,4700,550,0.5899659182036888
xgboost,0.18181818181818182,3,681,66,4736,514,0.5613839285714286
xgboost,0.18181818181818182,4,659,88,4724,526,0.555079908675799
xgboost,0.18181818181818182,5,685,62,4722,528,0.5617818081129725
xgboost,0.18181818181818182,6,667,80,4719,531,0.5791019955654102
xgboost,0.18181818181818182,7,674,73,4712,538,0.6196788923258212
xgboost,0.18181818181818182,8,671,76,4752,498,0.5767335994013469
xgboost,0.18181818181818182,9,677,70,4752,498,0.5523364485981308
xgboost,0.2727272727272727,0,559,69,4717,533,0.47226386806596704
xgboost,0.2727272727272727,1,573,55,4716,534,0.5516037198709433
xgboost,0.2727272727272727,2,555,73,4700,550,0.5719824243990695
xgboost,0.2727272727272727,3,568,60,4736,514,0.5732011747430249
