outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
5,-1,test,y,binary,xgb_clf,528,17.0,511.0,0.7652814550477726,0.3512522040190334,
5,-1,test,y,binary,mlp_clf_y,528,17.0,511.0,0.7959019224128007,0.3685599250288307,
5,-1,test,y,binary,mlp_latent_y,528,17.0,511.0,0.7959019224128007,0.3685599250288307,
5,-1,test,w_reg,regression,linreg,528,,,,,-0.12204903828698144
5,-1,test,w_reg,regression,xgb_reg,528,,,,,-0.08742816736009629
5,-1,test,w_reg,regression,mlp_reg,528,,,,,-0.0825329087622022
5,-1,test,w_class,binary,sparse_logistic,528,189.0,339.0,0.5947932762092054,0.4470430434718209,
5,-1,test,w_class,binary,xgb_clf,528,189.0,339.0,0.5566480935212498,0.41862580475483374,
5,-1,test,w_class,binary,mlp_clf_w_class,528,189.0,339.0,0.5841956579419706,0.4209177703744471,
5,-1,test,w_class,binary,mlp_latent_w_class,528,189.0,339.0,0.5841956579419706,0.4209177703744471,
5,-1,test,y,binary,mlp_latent_yw,528,17.0,511.0,0.8148958213422356,0.3983702014065341,
5,-1,test,w_class,binary,mlp_latent_yw,528,189.0,339.0,0.5903763012907556,0.44493983038781837,
6,-1,test,y,binary,sparse_logistic,531,13.0,518.0,0.8402138402138403,0.2445064796703916,
6,-1,test,y,binary,xgb_clf,531,13.0,518.0,0.9137214137214137,0.22206318219241059,
6,-1,test,y,binary,mlp_clf_y,531,13.0,518.0,0.9189189189189189,0.23367186548226795,
6,-1,test,y,binary,mlp_latent_y,531,13.0,518.0,0.9189189189189189,0.23367186548226795,
6,-1,test,w_reg,regression,linreg,531,,,,,-0.15555536576921014
6,-1,test,w_reg,regression,xgb_reg,531,,,,,-0.14435556434321528
6,-1,test,w_reg,regression,mlp_reg,531,,,,,-0.1087417808579827
6,-1,test,w_class,binary,sparse_logistic,531,198.0,333.0,0.5898625898625899,0.43596352089490636,
6,-1,test,w_class,binary,xgb_clf,531,198.0,333.0,0.5933509266842599,0.4541311524689895,
6,-1,test,w_class,binary,mlp_clf_w_class,531,198.0,333.0,0.648178481511815,0.512971231169054,
6,-1,test,w_class,binary,mlp_latent_w_class,531,198.0,333.0,0.648178481511815,0.512971231169054,
6,-1,test,y,binary,mlp_latent_yw,531,13.0,518.0,0.9079299079299079,0.20999715183760218,
6,-1,test,w_class,binary,mlp_latent_yw,531,198.0,333.0,0.6064246064246063,0.4757324621904978,
7,-1,test,y,binary,sparse_logistic,538,18.0,520.0,0.7950854700854701,0.3843821085012916,
7,-1,test,y,binary,xgb_clf,538,18.0,520.0,0.8582264957264958,0.5697449078233691,
7,-1,test,y,binary,mlp_clf_y,538,18.0,520.0,0.826068376068376,0.5626576408897079,
7,-1,test,y,binary,mlp_latent_y,538,18.0,520.0,0.826068376068376,0.5626576408897079,
7,-1,test,w_reg,regression,linreg,538,,,,,-0.1421467941055603
7,-1,test,w_reg,regression,xgb_reg,538,,,,,-0.12745398213869885
7,-1,test,w_reg,regression,mlp_reg,538,,,,,-0.11249631113583392
7,-1,test,w_class,binary,sparse_logistic,538,198.0,340.0,0.5675727866904338,0.41664401474638113,
7,-1,test,w_class,binary,xgb_clf,538,198.0,340.0,0.5621954842543078,0.4145099088227985,
7,-1,test,w_class,binary,mlp_clf_w_class,538,198.0,340.0,0.593939393939394,0.43333128843906144,
