outer_fold,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
6,y,binary,sparse_logistic,582,23.0,559.0,0.7282803142257136,0.24468129687562554,
6,y,binary,xgb_clf,582,23.0,559.0,0.7747530528116979,0.13184292324796476,
6,y,binary,mlp_clf_y,582,23.0,559.0,0.8052422804697831,0.19434391184752478,
6,w_reg,regression,linreg,582,,,,,-0.1803354892196085
6,w_reg,regression,xgb_reg,582,,,,,-0.166201999548919
6,w_reg,regression,mlp_reg,582,,,,,-0.1693320625474939
6,w_class,binary,sparse_logistic,582,270.0,312.0,0.6090396486229819,0.5419127143753883,
6,w_class,binary,xgb_clf,582,270.0,312.0,0.6032466761633428,0.5573697788351949,
6,w_class,binary,mlp_clf_w_class,582,270.0,312.0,0.5573361823361824,0.5063959471253078,
6,y,binary,mlp_latent_yw,582,23.0,559.0,0.7981644240491561,0.2088066325583115,
6,w_class,binary,mlp_latent_yw,582,270.0,312.0,0.568815289648623,0.5191109653081236,
7,y,binary,sparse_logistic,573,17.0,556.0,0.6984765129073212,0.16299212634111226,
7,y,binary,xgb_clf,573,17.0,556.0,0.7788298772746508,0.23941725894439841,
7,y,binary,mlp_clf_y,573,17.0,556.0,0.7761320355480321,0.2315538222331983,
7,w_reg,regression,linreg,573,,,,,-0.12785787193598797
7,w_reg,regression,xgb_reg,573,,,,,-0.12864765476941953
7,w_reg,regression,mlp_reg,573,,,,,-0.12808026541064677
7,w_class,binary,sparse_logistic,573,230.0,343.0,0.5745404994295856,0.4476101651635342,
7,w_class,binary,xgb_clf,573,230.0,343.0,0.5697236658638611,0.4695321026075068,
7,w_class,binary,mlp_clf_w_class,573,230.0,343.0,0.5473634174166562,0.43795990464763557,
7,y,binary,mlp_latent_yw,573,17.0,556.0,0.7596275920440119,0.27013610439589153,
7,w_class,binary,mlp_latent_yw,573,230.0,343.0,0.5824629230574216,0.4728447726320228,
8,y,binary,sparse_logistic,576,22.0,554.0,0.8106334099113883,0.16971752956104819,
8,y,binary,xgb_clf,576,22.0,554.0,0.8201509681654086,0.22482133852714975,
8,y,binary,mlp_clf_y,576,22.0,554.0,0.8074335411880538,0.23764653166367294,
8,w_reg,regression,linreg,576,,,,,-0.15292666753916562
8,w_reg,regression,xgb_reg,576,,,,,-0.1571901913399003
8,w_reg,regression,mlp_reg,576,,,,,-0.13688521198127646
8,w_class,binary,sparse_logistic,576,230.0,346.0,0.5994408142749434,0.47193501744952016,
8,w_class,binary,xgb_clf,576,230.0,346.0,0.5857187735611963,0.47756565296303366,
8,w_class,binary,mlp_clf_w_class,576,230.0,346.0,0.5834066348328726,0.47933083095050705,
8,y,binary,mlp_latent_yw,576,22.0,554.0,0.8004594683295045,0.27415418180184603,
8,w_class,binary,mlp_latent_yw,576,230.0,346.0,0.600270168384016,0.4682475201634034,
9,y,binary,sparse_logistic,563,17.0,546.0,0.7823206205559148,0.10268839033024532,
9,y,binary,xgb_clf,563,17.0,546.0,0.7642749407455289,0.1266133050269735,
9,y,binary,mlp_clf_y,563,17.0,546.0,0.7504848093083387,0.14402719853905718,
9,w_reg,regression,linreg,563,,,,,-0.19179748707936972
9,w_reg,regression,xgb_reg,563,,,,,-0.19149088668932435
9,w_reg,regression,mlp_reg,563,,,,,-0.17931630633419804
9,w_class,binary,sparse_logistic,563,257.0,306.0,0.5895513847562371,0.5420569930987202,
9,w_class,binary,xgb_clf,563,257.0,306.0,0.5726329442282749,0.5100954871052403,
9,w_class,binary,mlp_clf_w_class,563,257.0,306.0,0.551842526894026,0.4981447017996818,
9,y,binary,mlp_latent_yw,563,17.0,546.0,0.7564102564102564,0.12833978645219063,
9,w_class,binary,mlp_latent_yw,563,257.0,306.0,0.5809363953103939,0.5253506892383566,
