outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
5,-1,test,y,binary,xgb_clf,564,17.0,547.0,0.7855683406817937,0.20301708423789483,
5,-1,test,y,binary,mlp_clf_y,564,17.0,547.0,0.8361114098290138,0.38354749139983363,
5,-1,test,y,binary,mlp_latent_y,564,17.0,547.0,0.8361114098290138,0.38354749139983363,
5,-1,test,w_reg,regression,linreg,564,,,,,-0.1557375944327224
5,-1,test,w_reg,regression,xgb_reg,564,,,,,-0.15668442691096396
5,-1,test,w_reg,regression,mlp_reg,564,,,,,-0.1473796431035881
5,-1,test,w_class,binary,sparse_logistic,564,232.0,332.0,0.5479850436227669,0.4556787293304799,
5,-1,test,w_class,binary,xgb_clf,564,232.0,332.0,0.5370339115081013,0.4230806021008915,
5,-1,test,w_class,binary,mlp_clf_w_class,564,232.0,332.0,0.5146577690070627,0.42591821340426234,
5,-1,test,w_class,binary,mlp_latent_w_class,564,232.0,332.0,0.5146577690070627,0.42591821340426234,
5,-1,test,y,binary,mlp_latent_yw,564,17.0,547.0,0.8395526400688246,0.3156936875739468,
5,-1,test,w_class,binary,mlp_latent_yw,564,232.0,332.0,0.5265761321146656,0.426941178826693,
6,-1,test,y,binary,sparse_logistic,582,23.0,559.0,0.6629851442793808,0.09851992138423761,
6,-1,test,y,binary,xgb_clf,582,23.0,559.0,0.7927199191102124,0.21098266657684805,
6,-1,test,y,binary,mlp_clf_y,582,23.0,559.0,0.8237535972621919,0.17964424384841265,
6,-1,test,y,binary,mlp_latent_y,582,23.0,559.0,0.8237535972621919,0.17964424384841265,
6,-1,test,w_reg,regression,linreg,582,,,,,-0.18025619837003504
6,-1,test,w_reg,regression,xgb_reg,582,,,,,-0.1768618883924047
6,-1,test,w_reg,regression,mlp_reg,582,,,,,-0.16430100207866727
6,-1,test,w_class,binary,sparse_logistic,582,270.0,312.0,0.6026234567901234,0.5494161548077752,
6,-1,test,w_class,binary,xgb_clf,582,270.0,312.0,0.5973765432098765,0.5492648238219325,
6,-1,test,w_class,binary,mlp_clf_w_class,582,270.0,312.0,0.5736823361823362,0.5240636064482043,
6,-1,test,w_class,binary,mlp_latent_w_class,582,270.0,312.0,0.5736823361823362,0.5240636064482043,
6,-1,test,y,binary,mlp_latent_yw,582,23.0,559.0,0.8232091467682975,0.24479904151217047,
6,-1,test,w_class,binary,mlp_latent_yw,582,270.0,312.0,0.5969966761633428,0.5410969126321956,
7,-1,test,y,binary,sparse_logistic,573,17.0,556.0,0.6325645366060093,0.0922106412617822,
7,-1,test,y,binary,xgb_clf,573,17.0,556.0,0.787240795598815,0.21642862910016908,
7,-1,test,y,binary,mlp_clf_y,573,17.0,556.0,0.8118916631400762,0.2286109880312601,
7,-1,test,y,binary,mlp_latent_y,573,17.0,556.0,0.8118916631400762,0.2286109880312601,
7,-1,test,w_reg,regression,linreg,573,,,,,-0.12775659672953754
7,-1,test,w_reg,regression,xgb_reg,573,,,,,-0.13125123747571044
7,-1,test,w_reg,regression,mlp_reg,573,,,,,-0.12356459836448086
7,-1,test,w_class,binary,sparse_logistic,573,230.0,343.0,0.5888325516542021,0.4745480898123336,
7,-1,test,w_class,binary,xgb_clf,573,230.0,343.0,0.5500823932057294,0.4415587807163418,
