latent_dim,split_idx,auc_y_nn,auc_w0_nn,rmse_W_nn,r2_W_nn,rho_W_nn,auc_spos_nn,auc_sneg_nn,auc_y_vib,auc_w0_vib,rmse_W_vib,r2_W_vib,rho_W_vib,auc_spos_vib,auc_sneg_vib,train_loss_eval_vib,test_loss_eval_vib,gen_gap_vib,KL_total_vib,n_train,auc_y_lr,auc_w0_lr,rmse_W_lr,r2_W_lr,rho_W_lr,auc_spos_lr,auc_sneg_lr,auc_y_lr_shuff,auc_w0_lr_shuff,rmse_W_lr_shuff,r2_W_lr_shuff,rho_W_lr_shuff
1,0,0.7307819383259913,0.42716238627982717,0.36657092,-4.227039337158203,-0.1348896508973293,0.5658639925055357,0.5237649274450049,0.6872687224669604,0.5709534722470642,0.3768994,-4.525742530822754,-0.13082857336645226,0.5741131077423872,0.5172868790306554,1.7784057063790872,3.1688395500183106,1.3904338436392234,4.386576883754155,10775,0.612863436123348,0.7346667569857085,0.14923114647330205,0.13371915553214775,0.42538300365750953,0.6267399553360208,0.6150956013240978,0.4301321585903084,0.5043821226141882,0.1621857090924481,-0.023210358592793412,-0.007923917732977301
1,1,0.7334801762114538,0.4444688241434943,0.16693355,0.004516541957855225,0.10263986663164218,0.5650612579814576,0.5104418802473063,0.7187444933920704,0.4290610230615925,0.16797937,-0.00799560546875,-0.13730943368892845,0.5522850311713053,0.5292362273337115,1.527969121534697,6.269888230526086,4.7419191089913895,25.282466539351958,10775,0.564273127753304,0.7205899212299516,0.15172528859493423,0.17763866560594033,0.4213172025205811,0.6193339903986721,0.6029518043126461,0.4755286343612335,0.48563651893328275,0.16965361661573178,-0.02818906924853981,-0.006090525051684407
1,2,0.7274449339207049,0.5448645079450678,0.389745,-5.046651840209961,0.06839738682111308,0.49492728295962796,0.5434141803074826,0.682863436123348,0.5762234730333429,0.30137858,-2.6155853271484375,-0.13386861682382764,0.5242996356742987,0.5694984461738024,1.9482912774207697,3.0779673671309564,1.1296760897101867,2.620274348867465,10775,0.6118171806167401,0.7242589607986125,0.14861131433470373,0.1208607969316342,0.3944161991074058,0.6470365214300524,0.6063698918644156,0.4999229074889869,0.5049844346531195,0.16051599017798213,-0.02562949275977222,0.03318161539347052
1,3,0.7668392070484582,0.4533394525666967,0.37199304,-3.699483871459961,0.08480438266940947,0.5102991047513551,0.5351323693818635,0.7433039647577092,0.4178739868502336,0.17399774,-0.02817666530609131,-0.148359914525582,0.569749493812252,0.5276369509226764,1.5694934870748676,4.030181844306715,2.4606883572318474,11.02797922997353,10775,0.6337334801762113,0.7336864556493619,0.16019825769413298,0.12844237298519778,0.4154533067149406,0.6367138200604702,0.6059185016415713,0.4809361233480176,0.4967277551556948,0.17399705028566398,-0.028168520037873623,0.01988796721009073
1,4,0.6883920704845816,0.5428160134002844,0.16694912,-0.03278076648712158,-0.07938266131285314,0.5570967899602469,0.48159920665757705,0.6869933920704846,0.6136362431648781,0.29381073,-2.1987123489379883,0.20606268792107013,0.45427404038617303,0.5776890987827881,1.7158943667710518,3.2666131636797093,1.5507187969086575,3.962112379981304,10775,0.5634691629955946,0.7347347999233663,0.1521797537556134,0.14186884100292174,0.39664389363045255,0.6204835541321814,0.6430056233354292,0.49571585903083704,0.5000109801153897,0.166243904039486,-0.024074084743122226,-0.01589434495771355
1,5,0.7326321585903084,0.5716383495145632,0.60460246,-14.714155197143555,-0.13231882343012227,0.5262956385248727,0.527646081388949,0.6893281938325991,0.5900773665048544,0.15308526,-0.007437229156494141,-0.15693286013415556,0.4711745699294736,0.540687507402479,1.8125690702938424,2.923988401734984,1.1114193314411416,1.8992353316968666,10775,0.5715308370044053,0.7329437196601941,0.1397254113147478,0.1607293749947769,0.39477523489412947,0.6225875437882943,0.6203198915928742,0.47665198237885464,0.5076668689320388,0.1557909076779892,-0.04336303121457896,-0.016875325871509396
1,6,0.6861563876651983,0.48040691369164884,0.40530995,-4.780263900756836,-0.014240808995590288,0.5085435509914248,0.5047705722004843,0.6883920704845815,0.4837831267085886,0.18081506,-0.1503826379776001,-0.014824244172612473,0.49948613248229656,0.519142412977825,1.6098820482882437,3.580683658649395,1.9708016103611514,2.4884203414076165,10775,0.5823678414096916,0.7092211770103518,0.15899896116754442,0.11046766762590421,0.362380460535412,0.6018982599858902,0.5979301711765566,0.48310572687224673,0.49323957165535803,0.17098133773591231,-0.028657000123192056,0.00035301653281082334
1,7,0.7056718061674009,0.49551449529841307,0.32425138,-3.37636661529541,-0.00554249352987643,0.4996953789988084,0.506602128356567,0.6067290748898678,0.5182712509914809,0.2582047,-1.7750978469848633,0.05788341199333641,0.487939697904839,0.5072373160149839,1.8746525827527323,3.398084487749901,1.5234319049971685,2.08012724104171,10775,0.5741740088105727,0.7175210557227365,0.1466945159891548,0.10426852886761762,0.3747622055935494,0.6166078668227387,0.6109297461595475,0.4377863436123348,0.48099611278964866,0.15672929687724058,-0.022469699397904108,-0.009608050099964344
1,8,0.7062114537444933,0.634556141000504,0.16171132,0.008184552192687988,0.2402926159025295,0.5800137427844447,0.5613017224587473,0.6733590308370044,0.5272790872724403,0.2863133,-2.109088659286499,0.07652832636228035,0.539233394728847,0.5436762598436152,1.698525931486674,3.510011658317599,1.811485726830925,3.4115149151919337,10775,0.6210352422907488,0.7351429854859564,0.15061401952605144,0.13963880235485682,0.40803534523976814,0.6253631512987999,0.628658311767816,0.4768392070484581,0.5038728397384922,0.1636620420210008,-0.01588827694671413,0.041843510793308884
1,9,0.7477092511013216,0.404195630284723,0.6093196,-13.827200889587402,0.1791639483987905,0.5528794376895771,0.5524092678287418,0.7122246696035242,0.5063955004791887,0.15944009,-0.015228748321533203,0.016885893861518644,0.5360253978521431,0.5290762985874118,1.5762379133507713,3.568885674414697,1.9926477610639255,6.653932965050717,10775,0.5461233480176211,0.7199983925950189,0.14650835737065018,0.14277735656830692,0.3995890449150172,0.627538971036611,0.6157044425440618,0.4906277533039648,0.5064258288750592,0.1598295705140873,-0.020194789188955342,0.0048072714888029115
