latent_dim,auc_y_nn_mean,auc_y_nn_std,auc_w0_nn_mean,auc_w0_nn_std,rmse_W_nn_mean,rmse_W_nn_std,r2_W_nn_mean,r2_W_nn_std,rho_W_nn_mean,rho_W_nn_std,auc_spos_nn_mean,auc_spos_nn_std,auc_sneg_nn_mean,auc_sneg_nn_std,auc_y_vib_mean,auc_y_vib_std,auc_w0_vib_mean,auc_w0_vib_std,rmse_W_vib_mean,rmse_W_vib_std,r2_W_vib_mean,r2_W_vib_std,rho_W_vib_mean,rho_W_vib_std,auc_spos_vib_mean,auc_spos_vib_std,auc_sneg_vib_mean,auc_sneg_vib_std,train_loss_eval_vib_mean,train_loss_eval_vib_std,test_loss_eval_vib_mean,test_loss_eval_vib_std,gen_gap_vib_mean,gen_gap_vib_std,KL_total_vib_mean,KL_total_vib_std,n_train_mean,n_train_std,auc_y_lr_mean,auc_y_lr_std,auc_w0_lr_mean,auc_w0_lr_std,rmse_W_lr_mean,rmse_W_lr_std,r2_W_lr_mean,r2_W_lr_std,rho_W_lr_mean,rho_W_lr_std,auc_spos_lr_mean,auc_spos_lr_std,auc_sneg_lr_mean,auc_sneg_lr_std,auc_y_lr_shuff_mean,auc_y_lr_shuff_std,auc_w0_lr_shuff_mean,auc_w0_lr_shuff_std,rmse_W_lr_shuff_mean,rmse_W_lr_shuff_std,r2_W_lr_shuff_mean,r2_W_lr_shuff_std,rho_W_lr_shuff_mean,rho_W_lr_shuff_std
1,0.7225319383259912,0.024393530010260227,0.4998962714125222,0.06872558320876786,0.35673863589763644,0.15496731839045147,-4.969124132394791,5.0204638719044485,0.030892376225771335,0.12039120249671939,0.5360676177147351,0.029861562904545516,0.5247082336272724,0.02315552845526668,0.688920704845815,0.03381017807458161,0.5233554530313663,0.06290919330681075,0.23519242107868193,0.07398632911269247,-1.343344759941101,1.4742864026330256,-0.036476332257335285,0.1180669126121707,0.5208580501684016,0.03903323088943022,0.5361167397069948,0.02136858966116005,1.7111921505352736,0.13417837653510678,3.679514403652835,0.9125184405723,1.9683222531175613,1.0052036888011264,6.381264017631726,6.8224620366446285,10775.0,0.0,0.5881387665198238,0.027893776032816665,0.7262764225061259,0.008736573683740824,0.1504487026220835,0.005676988091234964,0.13604115624693044,0.02095047008033804,0.39927558968087656,0.01875880888894492,0.6244303634289732,0.011364958778080641,0.6146883985719016,0.01268368050014675,0.4747246696035242,0.02190679735565487,0.4983943033462272,0.008701749417875876,0.16395894250375423,0.005821088508804603,-0.02598443222534459,0.006914228407908503,0.004368121770463486,0.019517848899085078
2,0.725329295154185,0.028752310636352377,0.5519643399344659,0.10637687861002329,0.23894598484039306,0.06556212634854709,-1.313319444656372,1.2849330622402328,0.07696209299556686,0.20288531585776864,0.5871553691196476,0.034359004602099785,0.5614996238440966,0.0281525903486534,0.7251277533039647,0.01733786210244431,0.6612464635726241,0.04649518276992772,0.18096816539764404,0.02937328966680974,-0.2678640365600586,0.37776834134105214,0.16533879293186216,0.22747209913294805,0.5951821014322236,0.03360351914679266,0.5878102315556334,0.02518643129616732,1.4863443519753812,0.045271449116268805,4.684335327726422,0.636630330875257,3.1979909757510407,0.6608227870963955,22.511898460202314,9.219886667275246,10775.0,0.0,0.5881387665198238,0.027893776032816665,0.7262764225061259,0.008736573683740824,0.1504487026220835,0.005676988091234964,0.13604115624693044,0.02095047008033804,0.39927558968087656,0.01875880888894492,0.6244303634289732,0.011364958778080641,0.6146883985719016,0.01268368050014675,0.4747246696035242,0.02190679735565487,0.4983943033462272,0.008701749417875876,0.16395894250375423,0.005821088508804603,-0.02598443222534459,0.006914228407908503,0.004368121770463486,0.019517848899085078
3,0.7094856828193832,0.017432517419959666,0.6462096394296444,0.06613996207079578,0.18145454078912734,0.02237487410701944,-0.2762825310230255,0.3358826109670049,0.17143725112592284,0.15470335921699974,0.6011188722170259,0.03199647597162399,0.5964960901570365,0.03161104299488646,0.7152769823788546,0.022374030139466025,0.7028216124104782,0.03384382851134836,0.16870301812887192,0.019460960726376566,-0.10378631949424744,0.29202027260876834,0.26044413735673083,0.20168671283241196,0.6206311118672836,0.015041098717040697,0.6089715263775989,0.018931508002490906,1.4290703027862406,0.04143029119109203,5.443132407334976,0.7203442646662557,4.014062104548735,0.7527319242008631,29.227413118650077,8.92974589789369,10775.0,0.0,0.5881387665198238,0.027893776032816665,0.7262764225061259,0.008736573683740824,0.1504487026220835,0.005676988091234964,0.13604115624693044,0.02095047008033804,0.39927558968087656,0.01875880888894492,0.6244303634289732,0.011364958778080641,0.6146883985719016,0.01268368050014675,0.4747246696035242,0.02190679735565487,0.4983943033462272,0.008701749417875876,0.16395894250375423,0.005821088508804603,-0.02598443222534459,0.006914228407908503,0.004368121770463486,0.019517848899085078
4,0.7152885462555066,0.022247386694910002,0.6969725655117588,0.021982485243068763,0.1691187158226967,0.008708251762137067,-0.09380508661270141,0.0930599809280699,0.22317358230339007,0.07458096753162712,0.6131886432081519,0.02176936495858723,0.6136453702822589,0.017192984947899795,0.7110451541850219,0.02491111303826498,0.7208194600894491,0.01029832815996839,0.15397559851408005,0.005464667586392213,0.09434542655944825,0.03896025269450841,0.3635784888738822,0.04341128243947924,0.6286523460688578,0.017017713783365262,0.6210095639819462,0.010767155837714345,1.3671713683079676,0.04352325352989465,6.214541914555934,0.5240148192980723,4.847370546247966,0.5509606580327332,39.74331661684607,9.176284517454837,10775.0,0.0,0.5881387665198238,0.027893776032816665,0.7262764225061259,0.008736573683740824,0.1504487026220835,0.005676988091234964,0.13604115624693044,0.02095047008033804,0.39927558968087656,0.01875880888894492,0.6244303634289732,0.011364958778080641,0.6146883985719016,0.01268368050014675,0.4747246696035242,0.02190679735565487,0.4983943033462272,0.008701749417875876,0.16395894250375423,0.005821088508804603,-0.02598443222534459,0.006914228407908503,0.004368121770463486,0.019517848899085078
5,0.7093226872246696,0.03079078555291425,0.7147778637815287,0.010556633914185333,0.16449107825756074,0.010028471449630693,-0.03619470000267029,0.11392247020489177,0.27603711567933226,0.06854166632052684,0.6235219379166977,0.014510529362179201,0.6141003275523154,0.013510311647441726,0.7206574889867841,0.023947623426741386,0.7231663533187027,0.009619247859451195,0.15361373722553254,0.004727849281623747,0.09882696270942688,0.023600506765323277,0.3609784620515231,0.0467646052892792,0.6311161569851885,0.014927307701379669,0.6212884260609488,0.010526826091401535,1.3651766787194872,0.027280785457908515,5.785968132266751,0.5008228360359701,4.420791453547263,0.5136889611842199,39.91246033948646,4.58647340599846,10775.0,0.0,0.5881387665198238,0.027893776032816665,0.7262764225061259,0.008736573683740824,0.1504487026220835,0.005676988091234964,0.13604115624693044,0.02095047008033804,0.39927558968087656,0.01875880888894492,0.6244303634289732,0.011364958778080641,0.6146883985719016,0.01268368050014675,0.4747246696035242,0.02190679735565487,0.4983943033462272,0.008701749417875876,0.16395894250375423,0.005821088508804603,-0.02598443222534459,0.006914228407908503,0.004368121770463486,0.019517848899085078
6,0.7011685022026432,0.024492276585579082,0.7137615374797213,0.011342379863745854,0.16078479140996932,0.006300729873085095,0.012825876474380493,0.04018675359118303,0.2981932300993552,0.04158977500863411,0.6215916848425823,0.023193948560322086,0.6153940932761207,0.011215704691204377,0.7233645374449339,0.02887896174611717,0.7233959476096732,0.009855961968634239,0.15347471684217454,0.005585388284225219,0.10061301589012146,0.03055423859554737,0.37204544372341763,0.030283610574342177,0.6293752678296217,0.013440779523656193,0.6196047326021992,0.012324431105252371,1.374809533792969,0.02606193706218648,5.74280249110548,0.5219068362132852,4.36799295731251,0.5367189171425331,38.81178141048281,5.619163175571153,10775.0,0.0,0.5881387665198238,0.027893776032816665,0.7262764225061259,0.008736573683740824,0.1504487026220835,0.005676988091234964,0.13604115624693044,0.02095047008033804,0.39927558968087656,0.01875880888894492,0.6244303634289732,0.011364958778080641,0.6146883985719016,0.01268368050014675,0.4747246696035242,0.02190679735565487,0.4983943033462272,0.008701749417875876,0.16395894250375423,0.005821088508804603,-0.02598443222534459,0.006914228407908503,0.004368121770463486,0.019517848899085078
7,0.6918480176211453,0.019601792850335562,0.7117161865834725,0.015367160290532202,0.15921461284160615,0.006770871726340132,0.031025618314743042,0.06411359117333246,0.28498965030192536,0.05705416941732187,0.6191610557884887,0.022831727820376322,0.6083714418708208,0.011597848399942047,0.7194779735682819,0.0214288096056568,0.7228659196152647,0.008304543623348894,0.1533036172389984,0.0055438047859556775,0.10290524363517761,0.019144686318016538,0.371006915188399,0.026213419445647805,0.6320387963230557,0.016350028778947145,0.620326455907341,0.012019793029361682,1.3671492356025978,0.041336664900033876,6.158536981751909,0.9642039442118401,4.7913877461493115,1.0045150386688593,43.24486930946297,11.652770166174323,10775.0,0.0,0.5881387665198238,0.027893776032816665,0.7262764225061259,0.008736573683740824,0.1504487026220835,0.005676988091234964,0.13604115624693044,0.02095047008033804,0.39927558968087656,0.01875880888894492,0.6244303634289732,0.011364958778080641,0.6146883985719016,0.01268368050014675,0.4747246696035242,0.02190679735565487,0.4983943033462272,0.008701749417875876,0.16395894250375423,0.005821088508804603,-0.02598443222534459,0.006914228407908503,0.004368121770463486,0.019517848899085078
8,0.7010033039647576,0.018723619069242182,0.7202165733116976,0.010827789119342983,0.15661549419164658,0.007164586694182456,0.06354391574859619,0.04632722256599581,0.3225000468576419,0.04359622913131047,0.6228328654735142,0.019956105638244882,0.613800976300514,0.013461055486444225,0.72325,0.023565284223082496,0.7228121967854432,0.007994002264160093,0.15235331058502197,0.005635856228551858,0.11408819556236267,0.01620477166595061,0.3936087382504631,0.028988580709818842,0.6316330556859144,0.013169080992564178,0.6197631113304198,0.015430165462322652,1.3667622087649014,0.024094737845270123,6.0765491193713554,0.7982121950646671,4.709786910606455,0.8187060252204476,42.177478895519286,7.570571771147979,10775.0,0.0,0.5881387665198238,0.027893776032816665,0.7262764225061259,0.008736573683740824,0.1504487026220835,0.005676988091234964,0.13604115624693044,0.02095047008033804,0.39927558968087656,0.01875880888894492,0.6244303634289732,0.011364958778080641,0.6146883985719016,0.01268368050014675,0.4747246696035242,0.02190679735565487,0.4983943033462272,0.008701749417875876,0.16395894250375423,0.005821088508804603,-0.02598443222534459,0.006914228407908503,0.004368121770463486,0.019517848899085078
9,0.703772026431718,0.02234227584043434,0.7169851631372578,0.011403242437631972,0.1566780164837837,0.0044185846210044516,0.06113564968109131,0.054507853551959445,0.3255357780663434,0.056247116955919975,0.6270002236479,0.013668935984232154,0.6177429721130316,0.012698725646520172,0.7112411894273127,0.02596848764502047,0.7247384222157274,0.00949819489003384,0.15287283658981324,0.0050832782066586035,0.10779080390930176,0.016895456979001692,0.3855987910131818,0.02721477169768672,0.632889964763347,0.012819981131954837,0.6219044364576941,0.012041322585434227,1.3485781646870127,0.03008540617927072,6.819378655957969,1.0007494148776952,5.470800491270956,1.0279959879360048,49.15092022000554,6.44939093467418,10775.0,0.0,0.5881387665198238,0.027893776032816665,0.7262764225061259,0.008736573683740824,0.1504487026220835,0.005676988091234964,0.13604115624693044,0.02095047008033804,0.39927558968087656,0.01875880888894492,0.6244303634289732,0.011364958778080641,0.6146883985719016,0.01268368050014675,0.4747246696035242,0.02190679735565487,0.4983943033462272,0.008701749417875876,0.16395894250375423,0.005821088508804603,-0.02598443222534459,0.006914228407908503,0.004368121770463486,0.019517848899085078
10,0.7004680616740088,0.02428990174610375,0.7186131230363084,0.015754696898296845,0.15733833461999894,0.007797415791879544,0.05390303730964661,0.06941683072433173,0.30999653567623275,0.06636429167483211,0.6255637029250548,0.015458454468656057,0.6180750338807189,0.011707772010023338,0.7154019823788547,0.030678587443084143,0.7232043409825342,0.006908483477801796,0.15261929780244826,0.006046703870760249,0.11106770038604737,0.021300556503886743,0.3877429697188276,0.02269016314470646,0.6303523697807941,0.016059422660471515,0.6192611759126588,0.010183953840638964,1.3660161137215776,0.029321688876406477,6.413850708978002,0.8690705549732088,5.047834595256424,0.8934690701847394,44.447417550213096,7.280046383529757,10775.0,0.0,0.5881387665198238,0.027893776032816665,0.7262764225061259,0.008736573683740824,0.1504487026220835,0.005676988091234964,0.13604115624693044,0.02095047008033804,0.39927558968087656,0.01875880888894492,0.6244303634289732,0.011364958778080641,0.6146883985719016,0.01268368050014675,0.4747246696035242,0.02190679735565487,0.4983943033462272,0.008701749417875876,0.16395894250375423,0.005821088508804603,-0.02598443222534459,0.006914228407908503,0.004368121770463486,0.019517848899085078
