pair,model_a,model_b,n_folds,cka_fold_mean,cka_fold_std,cka_scaled_fold_mean,cka_scaled_fold_std,cka_full_pool,cka_scaled_full_pool,n_rows_full_pool
mlp_clf_y vs mlp_clf_w_class,mlp_clf_y,mlp_clf_w_class,10,0.24488267620961848,0.019117222080497008,0.2641971084004356,0.010430715651059849,0.06858487051186522,0.06877397331692855,5766
mlp_clf_y vs mlp_latent_yw,mlp_clf_y,mlp_latent_yw,10,0.8160664228841086,0.010817352874421957,0.7675487025852104,0.016277240310182347,0.5555156485871945,0.5433575346462372,5766
mlp_clf_w_class vs mlp_latent_yw,mlp_clf_w_class,mlp_latent_yw,10,0.28395086208958864,0.021460251295666383,0.3451246053151285,0.018882207464995516,0.07921905431858461,0.08105115197710032,5766
