outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
4,-1,test,w_reg,regression,linreg,1935,,,,,-0.17700930404330406
4,-1,test,w_reg,regression,xgb_reg,1935,,,,,-0.1852176570051196
4,-1,test,w_reg,regression,mlp_reg,1935,,,,,-0.1453269864884863
4,-1,test,w_class,binary,sparse_logistic,1935,948.0,987.0,0.6179232982357141,0.6032198827758635,
4,-1,test,w_class,binary,xgb_clf,1935,948.0,987.0,0.6070226232157285,0.590572698361727,
4,-1,test,w_class,binary,mlp_clf_w_class,1935,948.0,987.0,0.6018376019049329,0.5843763560422137,
4,-1,test,w_class,binary,mlp_latent_w_class,1935,948.0,987.0,0.6018376019049329,0.5843763560422137,
4,-1,test,y,binary,mlp_latent_yw,1935,43.0,1892.0,0.8147155710703574,0.08627092833521123,
4,-1,test,w_class,binary,mlp_latent_yw,1935,948.0,987.0,0.616515759728795,0.601912266431898,
5,-1,test,y,binary,sparse_logistic,1947,46.0,1901.0,0.6842279806966585,0.12451543838875692,
5,-1,test,y,binary,xgb_clf,1947,46.0,1901.0,0.7992360999931387,0.26046951168251187,
5,-1,test,y,binary,mlp_clf_y,1947,46.0,1901.0,0.7814651327676508,0.2088406193563733,
5,-1,test,y,binary,mlp_latent_y,1947,46.0,1901.0,0.7814651327676508,0.2088406193563733,
5,-1,test,w_reg,regression,linreg,1947,,,,,-0.1812732794857772
5,-1,test,w_reg,regression,xgb_reg,1947,,,,,-0.18892969213724342
5,-1,test,w_reg,regression,mlp_reg,1947,,,,,-0.15736418945921438
5,-1,test,w_class,binary,sparse_logistic,1947,952.0,995.0,0.5958204889996199,0.5756868525872489,
5,-1,test,w_class,binary,xgb_clf,1947,952.0,995.0,0.5762599763523499,0.5598602172172489,
5,-1,test,w_class,binary,mlp_clf_w_class,1947,952.0,995.0,0.5925816055065242,0.5816840576456005,
5,-1,test,w_class,binary,mlp_latent_w_class,1947,952.0,995.0,0.5925816055065242,0.5816840576456005,
5,-1,test,y,binary,mlp_latent_yw,1947,46.0,1901.0,0.8026553530178624,0.20616878057439997,
5,-1,test,w_class,binary,mlp_latent_yw,1947,952.0,995.0,0.5833822473713104,0.5625574632075301,
6,-1,test,y,binary,sparse_logistic,1897,45.0,1852.0,0.6295176385889129,0.04796316042637945,
6,-1,test,y,binary,xgb_clf,1897,45.0,1852.0,0.7818214542836573,0.10694664940156566,
6,-1,test,y,binary,mlp_clf_y,1897,45.0,1852.0,0.7688264938804895,0.23842672593260797,
6,-1,test,y,binary,mlp_latent_y,1897,45.0,1852.0,0.7688264938804895,0.23842672593260797,
6,-1,test,w_reg,regression,linreg,1897,,,,,-0.1630512046322219
6,-1,test,w_reg,regression,xgb_reg,1897,,,,,-0.16814093652228124
6,-1,test,w_reg,regression,mlp_reg,1897,,,,,-0.1447124685646497
6,-1,test,w_class,binary,sparse_logistic,1897,907.0,990.0,0.6068390631786442,0.5788066755956567,
6,-1,test,w_class,binary,xgb_clf,1897,907.0,990.0,0.6087634893588587,0.5714078209677999,
6,-1,test,w_class,binary,mlp_clf_w_class,1897,907.0,990.0,0.5956355172452196,0.5698754301765062,
6,-1,test,w_class,binary,mlp_latent_w_class,1897,907.0,990.0,0.5956355172452196,0.5698754301765062,
6,-1,test,y,binary,mlp_latent_yw,1897,45.0,1852.0,0.7778257739380849,0.20650402660891606,
6,-1,test,w_class,binary,mlp_latent_yw,1897,907.0,990.0,0.6026460859977949,0.5821023820227333,
7,-1,test,y,binary,sparse_logistic,1944,46.0,1898.0,0.58108077152151,0.038265910547823766,
7,-1,test,y,binary,xgb_clf,1944,46.0,1898.0,0.7889540477390389,0.08130208862198345,
7,-1,test,y,binary,mlp_clf_y,1944,46.0,1898.0,0.8324208549044761,0.15073321556299002,
7,-1,test,y,binary,mlp_latent_y,1944,46.0,1898.0,0.8324208549044761,0.15073321556299002,
7,-1,test,w_reg,regression,linreg,1944,,,,,-0.16648916981477635
7,-1,test,w_reg,regression,xgb_reg,1944,,,,,-0.171736544643033
7,-1,test,w_reg,regression,mlp_reg,1944,,,,,-0.12796319926046884
7,-1,test,w_class,binary,sparse_logistic,1944,954.0,990.0,0.5953836054464986,0.5891623821684554,
7,-1,test,w_class,binary,xgb_clf,1944,954.0,990.0,0.5762689790991677,0.5708030520616401,
7,-1,test,w_class,binary,mlp_clf_w_class,1944,954.0,990.0,0.5904633335450945,0.5819166738856634,
7,-1,test,w_class,binary,mlp_latent_w_class,1944,954.0,990.0,0.5904633335450945,0.5819166738856634,
7,-1,test,y,binary,mlp_latent_yw,1944,46.0,1898.0,0.8205548174279562,0.1680745087913346,
7,-1,test,w_class,binary,mlp_latent_yw,1944,954.0,990.0,0.5887554793215171,0.5875243681913225,
8,-1,test,y,binary,sparse_logistic,1956,51.0,1905.0,0.5391487828727292,0.04743416957510282,
8,-1,test,y,binary,xgb_clf,1956,51.0,1905.0,0.7230302094591118,0.09639453278245498,
8,-1,test,y,binary,mlp_clf_y,1956,51.0,1905.0,0.7646441253666821,0.160508230670854,
8,-1,test,y,binary,mlp_latent_y,1956,51.0,1905.0,0.7646441253666821,0.160508230670854,
8,-1,test,w_reg,regression,linreg,1956,,,,,-0.17634841696230374
8,-1,test,w_reg,regression,xgb_reg,1956,,,,,-0.1911374511210595
8,-1,test,w_reg,regression,mlp_reg,1956,,,,,-0.15378143503106
8,-1,test,w_class,binary,sparse_logistic,1956,953.0,1003.0,0.593858508420175,0.5784033587093438,
8,-1,test,w_class,binary,xgb_clf,1956,953.0,1003.0,0.5990046649139674,0.5749693829631597,
8,-1,test,w_class,binary,mlp_clf_w_class,1956,953.0,1003.0,0.5921888060896011,0.5674311742333193,
8,-1,test,w_class,binary,mlp_latent_w_class,1956,953.0,1003.0,0.5921888060896011,0.5674311742333193,
8,-1,test,y,binary,mlp_latent_yw,1956,51.0,1905.0,0.7676290463692039,0.21393692331621697,
8,-1,test,w_class,binary,mlp_latent_yw,1956,953.0,1003.0,0.6068499642729733,0.584552517245573,
9,-1,test,y,binary,sparse_logistic,1956,48.0,1908.0,0.5932477288609364,0.08079351438957866,
9,-1,test,y,binary,xgb_clf,1956,48.0,1908.0,0.7293195317959469,0.12569801943058564,
9,-1,test,y,binary,mlp_clf_y,1956,48.0,1908.0,0.7301439116002795,0.14549063919789215,
