cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
CRC,20260827_211118_nogit,4,shuffled,1,y,0.4051186017478153,0.027155735176717436,552,18,26.3
CRC,20260827_211118_nogit,4,shuffled,1,w_class,0.5664288779231924,0.46999263817385256,552,236,26.3
CRC,20260827_211118_nogit,4,shuffled,2,y,0.48044111527257594,0.03876769502314453,552,18,26.1
CRC,20260827_211118_nogit,4,shuffled,2,w_class,0.5764455052563827,0.4910926460661805,552,236,26.1
CRC,20260827_211118_nogit,4,shuffled,3,y,0.4861631294215564,0.032988212912280865,552,18,26.4
CRC,20260827_211118_nogit,4,shuffled,3,w_class,0.5616820424801545,0.4645341931667012,552,236,26.4
CRC,20260827_211118_nogit,4,shuffled,4,y,0.5725135247607158,0.04645149202818312,552,18,26.0
CRC,20260827_211118_nogit,4,shuffled,4,w_class,0.5739245869984981,0.48696488746234246,552,236,26.0
CRC,20260827_211118_nogit,5,real,-1,y,0.8395526400688246,0.3156936875739468,564,17,25.9
CRC,20260827_211118_nogit,5,real,-1,w_class,0.5265761321146656,0.426941178826693,564,232,25.9
CRC,20260827_211118_nogit,5,shuffled,0,y,0.5412409936552318,0.04038327516993641,564,17,26.0
CRC,20260827_211118_nogit,5,shuffled,0,w_class,0.5419998961362692,0.44057380643643806,564,232,26.0
CRC,20260827_211118_nogit,5,shuffled,1,y,0.4897300785030649,0.028984319195002876,564,17,26.1
CRC,20260827_211118_nogit,5,shuffled,1,w_class,0.5166701287910261,0.4376966337486732,564,232,26.1
CRC,20260827_211118_nogit,5,shuffled,2,y,0.628454672545435,0.06080467574845619,564,17,26.2
CRC,20260827_211118_nogit,5,shuffled,2,w_class,0.5272252804320732,0.4269706570277363,564,232,26.2
CRC,20260827_211118_nogit,5,shuffled,3,y,0.4126250134423056,0.02670069249868178,564,17,25.9
CRC,20260827_211118_nogit,5,shuffled,3,w_class,0.5424413169921064,0.4602069414489657,564,232,25.9
CRC,20260827_211118_nogit,5,shuffled,4,y,0.6061942144316593,0.08319788017744538,564,17,26.2
CRC,20260827_211118_nogit,5,shuffled,4,w_class,0.5445964894058994,0.4303905525926881,564,232,26.2
CRC,20260827_211118_nogit,6,real,-1,y,0.8232091467682975,0.24479904151217047,582,23,25.7
CRC,20260827_211118_nogit,6,real,-1,w_class,0.5969966761633428,0.5410969126321956,582,270,25.7
CRC,20260827_211118_nogit,6,shuffled,0,y,0.5061834020378004,0.0415258618871913,582,23,26.2
CRC,20260827_211118_nogit,6,shuffled,0,w_class,0.5681386514719848,0.5202047928857276,582,270,26.2
CRC,20260827_211118_nogit,6,shuffled,1,y,0.48704985610951224,0.04097458979791431,582,23,25.8
CRC,20260827_211118_nogit,6,shuffled,1,w_class,0.5997981956315289,0.54816622227542,582,270,25.8
CRC,20260827_211118_nogit,6,shuffled,2,y,0.6286069845220503,0.0681766005379132,582,23,25.8
CRC,20260827_211118_nogit,6,shuffled,2,w_class,0.5813390313390313,0.5365717260757525,582,270,25.8
CRC,20260827_211118_nogit,6,shuffled,3,y,0.4306603406704519,0.03706848958041621,582,23,26.3
CRC,20260827_211118_nogit,6,shuffled,3,w_class,0.5947530864197531,0.5401096081236477,582,270,26.3
CRC,20260827_211118_nogit,6,shuffled,4,y,0.5042389359881776,0.04298222421236016,582,23,26.1
CRC,20260827_211118_nogit,6,shuffled,4,w_class,0.5977089268755935,0.5578486098266929,582,270,26.1
CRC,20260827_211118_nogit,7,real,-1,y,0.7873465933135844,0.23478199629394186,573,17,26.4
CRC,20260827_211118_nogit,7,real,-1,w_class,0.5600963366713145,0.46674070563711145,573,230,26.4
CRC,20260827_211118_nogit,7,shuffled,0,y,0.38108336859923825,0.02379753411239209,573,17,25.9
CRC,20260827_211118_nogit,7,shuffled,0,w_class,0.5619977183419952,0.45567575672960187,573,230,25.9
CRC,20260827_211118_nogit,7,shuffled,1,y,0.39748201438848924,0.024840280955362982,573,17,26.1
CRC,20260827_211118_nogit,7,shuffled,1,w_class,0.5642667004690074,0.45466089329296333,573,230,26.1
CRC,20260827_211118_nogit,7,shuffled,2,y,0.3141134151502327,0.046741361252368094,573,17,25.8
CRC,20260827_211118_nogit,7,shuffled,2,w_class,0.5747369755355558,0.47504296754592296,573,230,25.8
CRC,20260827_211118_nogit,7,shuffled,3,y,0.4211807024968261,0.027053200532751953,573,17,25.9
CRC,20260827_211118_nogit,7,shuffled,3,w_class,0.5523006718215236,0.44716758338111273,573,230,25.9
CRC,20260827_211118_nogit,7,shuffled,4,y,0.48286077020736357,0.03201902426437896,573,17,26.2
CRC,20260827_211118_nogit,7,shuffled,4,w_class,0.5690074787679047,0.4804241410339614,573,230,26.2
CRC,20260827_211118_nogit,8,real,-1,y,0.820807351493272,0.2606063629208284,576,22,26.2
CRC,20260827_211118_nogit,8,real,-1,w_class,0.5793289771299321,0.4794639845782382,576,230,26.2
CRC,20260827_211118_nogit,8,shuffled,0,y,0.44519199212340005,0.043110166122595425,576,22,26.0
CRC,20260827_211118_nogit,8,shuffled,0,w_class,0.5950490072882634,0.4768764594429975,576,230,26.0
CRC,20260827_211118_nogit,8,shuffled,1,y,0.4595503774204135,0.05015067237901159,576,22,25.9
CRC,20260827_211118_nogit,8,shuffled,1,w_class,0.5797185222417693,0.460984879710324,576,230,25.9
CRC,20260827_211118_nogit,8,shuffled,2,y,0.6687725631768953,0.06766463649178102,576,22,25.8
CRC,20260827_211118_nogit,8,shuffled,2,w_class,0.5850967579793918,0.4597818493897099,576,230,25.8
CRC,20260827_211118_nogit,8,shuffled,3,y,0.6026419428946505,0.05672219993694718,576,22,26.1
CRC,20260827_211118_nogit,8,shuffled,3,w_class,0.5815280221161097,0.4569275780075092,576,230,26.1
CRC,20260827_211118_nogit,8,shuffled,4,y,0.49081063340991143,0.04111002117469137,576,22,26.1
CRC,20260827_211118_nogit,8,shuffled,4,w_class,0.5905252576024127,0.46606965760535113,576,230,26.1
CRC,20260827_211118_nogit,9,real,-1,y,0.7879767291531998,0.1642707341481256,563,17,26.1
CRC,20260827_211118_nogit,9,real,-1,w_class,0.564482083365123,0.5105396163480985,563,257,26.1
CRC,20260827_211118_nogit,9,shuffled,0,y,0.5259642318465848,0.07997543771224816,563,17,25.8
CRC,20260827_211118_nogit,9,shuffled,0,w_class,0.5778337275247323,0.5241549803986427,563,257,25.8
CRC,20260827_211118_nogit,9,shuffled,1,y,0.5160525748761042,0.032262943782081166,563,17,26.2
CRC,20260827_211118_nogit,9,shuffled,1,w_class,0.5647618320998957,0.5167474843188726,563,257,26.2
CRC,20260827_211118_nogit,9,shuffled,2,y,0.5301659125188537,0.038922719628707386,563,17,25.8
CRC,20260827_211118_nogit,9,shuffled,2,w_class,0.5455608962132193,0.4749632145857262,563,257,25.8
CRC,20260827_211118_nogit,9,shuffled,3,y,0.4940745528980823,0.031182954036611962,563,17,26.3
CRC,20260827_211118_nogit,9,shuffled,3,w_class,0.583415986368607,0.5381844775045341,563,257,26.3
CRC,20260827_211118_nogit,9,shuffled,4,y,0.4451626804567981,0.026820650141068943,563,17,25.7
CRC,20260827_211118_nogit,9,shuffled,4,w_class,0.571272348109153,0.5079131980997807,563,257,25.7
