pair,model_a,model_b,n_folds,cka_fold_mean,cka_fold_std,cka_scaled_fold_mean,cka_scaled_fold_std,cka_full_pool,cka_scaled_full_pool,n_rows_full_pool
mlp_clf_y vs mlp_clf_w_class,mlp_clf_y,mlp_clf_w_class,10,0.11272287062361004,0.020746969649922658,0.13435333750819134,0.019494449841726394,0.025182392091458273,0.026536218156914215,5250
mlp_clf_y vs mlp_latent_yw,mlp_clf_y,mlp_latent_yw,10,0.7072414163793782,0.0966835060440951,0.5646579460350826,0.04879997607345532,0.41819371942290756,0.4028781382327036,5250
mlp_clf_w_class vs mlp_latent_yw,mlp_clf_w_class,mlp_latent_yw,10,0.26403789116271414,0.0306303405564753,0.3855268647432,0.015387585070743455,0.07172054945386634,0.07567210561913172,5250
