[experiment] X (36005, 3059) | models ['sparse_logistic', 'xgb_clf', 'linreg', 'xgb_reg', 'mlp_clf_y', 'mlp_clf_w_class', 'mlp_reg', 'mlp_latent_yw']
[experiment] fold 9 | xgb_clf | n_tr=17308 | 28.8s
[experiment] fold 9 | mlp_clf_y | n_tr=17308 | 59.5s
[experiment] fold 9 | linreg | n_tr=17308 | 34.8s
[experiment] fold 9 | xgb_reg | n_tr=17308 | 26.5s
[experiment] fold 9 | mlp_reg | n_tr=17308 | 58.1s
[experiment] fold 9 | sparse_logistic | n_tr=17308 | 74.9s
[experiment] fold 9 | xgb_clf | n_tr=17308 | 27.1s
[experiment] fold 9 | mlp_clf_w_class | n_tr=17308 | 57.3s
[experiment] fold 9 | mlp_latent_yw | n_tr=17308 | 66.4s
[experiment] latent mlp_clf_y: 19264 rows x 64 dims -> /home/sinan/results/GvHD_outputs/20260916_152830/latent/mlp_clf_y
[experiment] latent mlp_clf_w_class: 19264 rows x 64 dims -> /home/sinan/results/GvHD_outputs/20260916_152830/latent/mlp_clf_w_class
[experiment] latent mlp_latent_yw: 19264 rows x 64 dims -> /home/sinan/results/GvHD_outputs/20260916_152830/latent/mlp_latent_yw
[experiment] done in 6445.2s
