arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,7,test,538,198,340,0.5716428995840761,0.4288869124748148
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,8,test,498,191,307,0.6113034432184455,0.4664875842461464
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,9,test,498,184,314,0.6171420659097202,0.47849835748131525
2_presence_concat_quantile,y,sparse_logistic,0,test,533,17,516,0.6673506611947104,0.0924789029198945
2_presence_concat_quantile,y,sparse_logistic,1,test,534,20,514,0.6682879377431907,0.2090707643164298
2_presence_concat_quantile,y,sparse_logistic,2,test,550,24,526,0.6845690747782003,0.1945612645214665
2_presence_concat_quantile,y,sparse_logistic,3,test,514,15,499,0.5728790915163662,0.1399516507302001
2_presence_concat_quantile,y,sparse_logistic,4,test,526,16,510,0.7403186274509804,0.30271404465774343
2_presence_concat_quantile,y,sparse_logistic,5,test,528,17,511,0.7618855761482676,0.37462561341952205
2_presence_concat_quantile,y,sparse_logistic,6,test,531,13,518,0.8402138402138403,0.24693571438467043
2_presence_concat_quantile,y,sparse_logistic,7,test,538,18,520,0.7907051282051283,0.3775490094974701
2_presence_concat_quantile,y,sparse_logistic,8,test,498,22,476,0.7457028265851795,0.21732895300570082
2_presence_concat_quantile,y,sparse_logistic,9,test,498,20,478,0.7608786610878662,0.26516014331140453
2_presence_concat_quantile,y,xgb_clf,0,test,533,17,516,0.7425900592795257,0.11929596142685953
2_presence_concat_quantile,y,xgb_clf,1,test,534,20,514,0.7891050583657587,0.33862885089528183
2_presence_concat_quantile,y,xgb_clf,2,test,550,24,526,0.7290082382762992,0.3031904146580961
2_presence_concat_quantile,y,xgb_clf,3,test,514,15,499,0.6907147628590514,0.1417814834874456
2_presence_concat_quantile,y,xgb_clf,4,test,526,16,510,0.7702205882352942,0.3107160651093808
2_presence_concat_quantile,y,xgb_clf,5,test,528,17,511,0.7591803844825601,0.3553480174457163
2_presence_concat_quantile,y,xgb_clf,6,test,531,13,518,0.9303534303534303,0.2025126588601411
2_presence_concat_quantile,y,xgb_clf,7,test,538,18,520,0.7924145299145299,0.4145417875813152
2_presence_concat_quantile,y,xgb_clf,8,test,498,22,476,0.8130252100840336,0.22514761565684477
2_presence_concat_quantile,y,xgb_clf,9,test,498,20,478,0.8411087866108786,0.3842711446438133
2_presence_concat_quantile,y,mlp_clf_y,0,test,533,17,516,0.7875056999544003,0.14530931596081456
